price,quantity,type,timestamp
47197000,0.0617,0,2023-11-08 23:13:32
47193000,0.0871,0,2023-11-08 23:13:32
47191000,0.0428,0,2023-11-08 23:13:32
47190000,0.0271,0,2023-11-08 23:13:32
47189000,0.0816,0,2023-11-08 23:13:32
47204000,0.0357,1,2023-11-08 23:13:32
47205000,0.0871,1,2023-11-08 23:13:32
47206000,0.0209,1,2023-11-08 23:13:32
47207000,0.0648,1,2023-11-08 23:13:32
47209000,0.0611,1,2023-11-08 23:13:32
47197000,0.0617,0,2023-11-08 23:13:36
47193000,0.0871,0,2023-11-08 23:13:36
47192000,0.0271,0,2023-11-08 23:13:36
47191000,0.1289,0,2023-11-08 23:13:36
47189000,0.0816,0,2023-11-08 23:13:36
47205000,0.0344,1,2023-11-08 23:13:36
47206000,0.0209,1,2023-11-08 23:13:36
47207000,0.0648,1,2023-11-08 23:13:36
47209000,0.0611,1,2023-11-08 23:13:36
47210000,0.0886,1,2023-11-08 23:13:36
47197000,0.0617,0,2023-11-08 23:13:40
47193000,0.0372,0,2023-11-08 23:13:40
47192000,0.0648,0,2023-11-08 23:13:40
47191000,0.1289,0,2023-11-08 23:13:40
47189000,0.0816,0,2023-11-08 23:13:40
47205000,0.0047,1,2023-11-08 23:13:40
47206000,0.0209,1,2023-11-08 23:13:40
47207000,0.0648,1,2023-11-08 23:13:40
47209000,0.0611,1,2023-11-08 23:13:40
47210000,0.0886,1,2023-11-08 23:13:40
47197000,0.0617,0,2023-11-08 23:13:44
47193000,0.0372,0,2023-11-08 23:13:44
47192000,0.0648,0,2023-11-08 23:13:44
47191000,0.1289,0,2023-11-08 23:13:44
47189000,0.0816,0,2023-11-08 23:13:44
47206000,0.0643,1,2023-11-08 23:13:44
47207000,0.0648,1,2023-11-08 23:13:44
47209000,0.0611,1,2023-11-08 23:13:44
47210000,0.0886,1,2023-11-08 23:13:44
47211000,0.0007,1,2023-11-08 23:13:44
47197000,0.0617,0,2023-11-08 23:13:48
47193000,0.0375,0,2023-11-08 23:13:48
47192000,0.0648,0,2023-11-08 23:13:48
47191000,0.1289,0,2023-11-08 23:13:48
47189000,0.0816,0,2023-11-08 23:13:48
47206000,0.0434,1,2023-11-08 23:13:48
47207000,0.0065,1,2023-11-08 23:13:48
47209000,0.0611,1,2023-11-08 23:13:48
47210000,0.0886,1,2023-11-08 23:13:48
47211000,0.0007,1,2023-11-08 23:13:48
47190000,0.0201,0,2023-11-08 23:14:56
47189000,0.031,0,2023-11-08 23:14:56
47188000,0.018,0,2023-11-08 23:14:56
47187000,0.1062,0,2023-11-08 23:14:56
47186000,0.0044,0,2023-11-08 23:14:56
47198000,0.0098,1,2023-11-08 23:14:56
47200000,0.0281,1,2023-11-08 23:14:56
47201000,0.0831,1,2023-11-08 23:14:56
47203000,0.0038,1,2023-11-08 23:14:56
47204000,0.0946,1,2023-11-08 23:14:56
47190000,0.0037,0,2023-11-08 23:15:00
47189000,0.031,0,2023-11-08 23:15:00
